Indicator statement,Indicator descriptor,Sub-themes,Theme,Development Status,Indicator Type,Level of Analysis,ToC stage,Indicator sources,Developed By,Date Started,Date Completed,Status
Proportion of caregivers who attended at least three structured caregiver learning sessions in the six months prior to the survey,"Measures the share of caregivers who attended at least three structured facilitated learning sessions in the six months prior to the survey, used as a proxy for sustained participation in adult learning as distinct from one-off or incidental attendance.",Adult learning and peer support (https://www.notion.so/Adult-learning-and-peer-support-31260bfb014e8054803bc6148977dcbe?pvs=21),Caregiver  Learning & Empowerment,Draft,Quantitative,Individual,1: Process,Caring for the Caregiver (https://www.notion.so/Caring-for-the-Caregiver-32060bfb014e8093b98cdb963a20aec7?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of caregivers who report a meaningful increase in confidence in supporting their child's learning, measured using a validated scale at baseline and six months after programme enrolment","Measures the share of caregivers who show a meaningful increase in self-reported confidence in supporting their child's learning between baseline and six months after programme enrolment, used as a pre-post outcome indicator for adult learning and empowerment programme effects.",Adult learning and peer support (https://www.notion.so/Adult-learning-and-peer-support-31260bfb014e8054803bc6148977dcbe?pvs=21),Caregiver  Learning & Empowerment,Draft,Scale-Based,Individual,2: Outcome,Caring for the Caregiver (https://www.notion.so/Caring-for-the-Caregiver-32060bfb014e8093b98cdb963a20aec7?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of caregivers who report at least one self-initiated or school-initiated dialogue with a teacher or school staff member about their child's learning, in the school term prior to the survey","Measures the share of caregivers who report engaging in at least one meaningful dialogue with a teacher or school staff member about their child's learning in the school term prior to the survey, used as a proxy for active caregiver participation in school-home communication.",Caregiver-school relationships (https://www.notion.so/Caregiver-school-relationships-31260bfb014e80d0a1e0db09cc36633a?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome," Parental Engagement: Listening First, Partnering Always (https://www.notion.so/Parental-Engagement-Listening-First-Partnering-Always-32060bfb014e807eaef2d749baf41836?pvs=21), Working with Parents to Support Children's Learning (https://www.notion.so/Working-with-Parents-to-Support-Children-s-Learning-32060bfb014e80fcb869f21d30681c32?pvs=21)",Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of schools where at least one documented change to school practice or policy can be evidenced as a direct response to formally collected caregiver input, at the time of survey","Measures the share of schools where at least one formally collected caregiver input has resulted in a documented and evidenced change to school practice or policy, used as a proxy for the responsiveness of school leadership to caregiver voice.",Caregiver-school relationships (https://www.notion.so/Caregiver-school-relationships-31260bfb014e80d0a1e0db09cc36633a?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Organisation,2: Outcome," Parental Engagement: Listening First, Partnering Always (https://www.notion.so/Parental-Engagement-Listening-First-Partnering-Always-32060bfb014e807eaef2d749baf41836?pvs=21)",Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of caregivers who report feeling confident making informed decisions across at least three defined education-related decision domains, measured on a validated scale at the time of survey","Measures the share of caregivers who report feeling confident making informed decisions across at least three defined education-related decision domains, used as a domain-specific confidence indicator for caregiver agency in educational decision-making.",Confidence and decision-making (https://www.notion.so/Confidence-and-decision-making-31260bfb014e8092939bfe1162ef075c?pvs=21),Home Conditions for Learning,Draft,Scale-Based,Individual,2: Outcome,"The Role of Educators and Caregivers in Supporting Participation of Children with Disabilities in Educational
Decision Making
 (https://www.notion.so/The-Role-of-Educators-and-Caregivers-in-Supporting-Participation-of-Children-with-Disabilities-in-Ed-32160bfb014e80d68e1bc6c6f197eaaf?pvs=21)",Belinda Mziray,"March 11, 2026",,Not Published
Proportion of caregivers who report actively reading and engaging with their child's school diary at least once per week during the school term prior to the survey,"Measures the share of caregivers who report actively reading and engaging with their child's school diary content at least once per week during the school term prior to the survey, used as a proxy for meaningful caregiver participation in school-home communication.",Caregiver-school relationships (https://www.notion.so/Caregiver-school-relationships-31260bfb014e80d0a1e0db09cc36633a?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome,Use of School Diaries to track homework accomplishment on both parent and teacher side is widespread in many learning institutions for early education.  (https://www.notion.so/Use-of-School-Diaries-to-track-homework-accomplishment-on-both-parent-and-teacher-side-is-widespread-32160bfb014e800b8087e8d69c0f6290?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of learner school diaries containing caregiver signatures at least once per week across the school term prior to the survey, verified through physical diary review","Measures the share of learner school diaries that contain caregiver signatures at least once per week across the school term prior to the survey, used as a proxy for minimum caregiver compliance with the school-home communication system.",Caregiver-school relationships (https://www.notion.so/Caregiver-school-relationships-31260bfb014e80d0a1e0db09cc36633a?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome,Use of School Diaries to track homework accomplishment on both parent and teacher side is widespread in many learning institutions for early education.  (https://www.notion.so/Use-of-School-Diaries-to-track-homework-accomplishment-on-both-parent-and-teacher-side-is-widespread-32160bfb014e800b8087e8d69c0f6290?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
"Proportion of caregivers who report taking at least one identifiable action or decision regarding their child's learning or behaviour informed by school diary content, in the school term prior to the survey","Measures the share of caregivers who report taking at least one identifiable action or decision regarding their child's learning or behaviour that was informed by school diary content in the school term prior to the survey, used as a proxy for action-oriented caregiver engagement with school-home communication.",Caregiver-school relationships (https://www.notion.so/Caregiver-school-relationships-31260bfb014e80d0a1e0db09cc36633a?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome,Use of School Diaries to track homework accomplishment on both parent and teacher side is widespread in many learning institutions for early education.  (https://www.notion.so/Use-of-School-Diaries-to-track-homework-accomplishment-on-both-parent-and-teacher-side-is-widespread-32160bfb014e800b8087e8d69c0f6290?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
Proportion of caregivers who report discussing information from their child's school diary with at least one other person in the school term prior to the survey,"Measures the share of caregivers who report discussing information from their child's school diary with a family member, the child, or a school staff member in the school term prior to the survey, used as a proxy for communicative engagement with school-home information.",Caregiver-school relationships (https://www.notion.so/Caregiver-school-relationships-31260bfb014e80d0a1e0db09cc36633a?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome,Use of School Diaries to track homework accomplishment on both parent and teacher side is widespread in many learning institutions for early education.  (https://www.notion.so/Use-of-School-Diaries-to-track-homework-accomplishment-on-both-parent-and-teacher-side-is-widespread-32160bfb014e800b8087e8d69c0f6290?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
"Rate of teacher diary entries receiving a written caregiver response within one week, across the school term prior to the survey, verified through physical diary review","Measures the proportion of teacher diary entries that receive a written caregiver response within one week, used as a system-level rate of substantive caregiver engagement with school-home communication content across the school term.",Caregiver-school relationships (https://www.notion.so/Caregiver-school-relationships-31260bfb014e80d0a1e0db09cc36633a?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Organisation,2: Outcome,Use of School Diaries to track homework accomplishment on both parent and teacher side is widespread in many learning institutions for early education.  (https://www.notion.so/Use-of-School-Diaries-to-track-homework-accomplishment-on-both-parent-and-teacher-side-is-widespread-32160bfb014e800b8087e8d69c0f6290?pvs=21),Belinda Mziray,"March 11, 2026",,Not Published
