Theme Name,Descriptor,ToC Stage,Theme Status
Demographics,"Demographics instead describe who the respondent is. They are used for:
• disaggregation
• equity analysis
• sampling validation
• context interpretation",Standard for surveys,Published on Platform
Social Valuation,"Social Valuation examines stakeholder perceptions of the importance and lived value of experienced changes resulting from carbon revenue–funded activities. It does not measure structural conditions or service provision directly; rather, it assesses how significant and meaningful these changes are to stakeholders.",2: Outcome,Published on Platform
"Free, Prior, and Informed Consent (FPIC)","Ensuring that Indigenous Peoples and Local Communities (IPLCs) have the right to give or withhold consent before any project affecting their land, resources, or livelihoods is approved. FPIC is a continuous process, requiring full transparency, meaningful participation, and decision-making free from coercion. It upholds self-determination, safeguards rights, and ensures communities have access to relevant information before making informed decisions.",1: Output,Published on Platform
User Rights and Land Tenure,"Ensuring that Indigenous Peoples and Local Communities (IPLCs) have secure, legally recognized, and enforceable rights to access, use, manage, and benefit from land and natural resources. This includes formalizing land tenure, preventing land grabbing and displacement, and promoting equitable land governance. Strengthening user rights ensures that IPLCs can make decisions over their land, maintain their livelihoods, and participate in conservation and development initiatives without the risk of exclusion or loss of access",1: Output,Published on Platform
Natural Resource Management,"Ensuring the conservation, sustainable management, and restoration of forests to maintain biodiversity, regulate the climate, and support the livelihoods of local communities. Forest protection efforts prioritize preventing deforestation, illegal logging, and land degradation while recognizing the rights of Indigenous Peoples and Local Communities as stewards of forest ecosystems. ",1: Output,Published on Platform
Transparency & Access to Information,"Ensuring that all stakeholders have timely, accurate, and accessible information about project activities, decisions, and outcomes. Transparency fosters trust, accountability, and informed participation by making financial flows, land agreements, environmental and social impact assessments, and governance structures publicly available.",Both Stages,Published on Platform
Inclusive Decision Making & Participation,"Ensuring that all stakeholders, particularly marginalized groups—have meaningful opportunities to participate in decision-making processes. This includes co-designing projects, influencing policies, and shaping benefit-sharing mechanisms. ",Both Stages,Published on Platform
Safeguarding & Ethical Standards,"Ensuring that all project activities uphold human rights, prevent harm, and promote ethical, fair, and inclusive practices. This includes robust measures to prevent exploitation, discrimination, abuse, and unsafe working conditions, particularly for vulnerable groups such as children, women, and marginalized communities. ",Both Stages,Published on Platform
Training,"Ensuring that individuals, communities, and institutions have the knowledge, skills, and resources needed to effectively participate in and benefit from projects. ",Both Stages,Published on Platform
Benefit Sharing Mechanism,"Ensuring that project benefits—financial, social, and environmental—are distributed through clear, transparent, and participatory mechanisms. This includes well-documented processes for fund disbursement, decision-making, and oversight to prevent elite capture and ensure fairness. Local communities and Indigenous Peoples must have a direct role in shaping and accessing these benefits, with grievance mechanisms in place to address concerns.",1: Output,Published on Platform
Economic Empowerment & Resilient Livelihoods,"Ensuring communities have access to sustainable economic opportunities that increase income, build assets, and enhance long-term financial security. A focus on resilience ensures that communities can adapt to environmental and economic shifts, fostering self-sufficiency and long-term well-being.",Both Stages,Published on Platform
Improved Ecosystem Services & Practices for Sustainable Livelihoods,"Ensuring that natural ecosystems—such as forests, watersheds, and soils—are protected and enhanced to sustain and improve the livelihoods of local communities. This includes maintaining biodiversity, regulating climate, securing water resources, and improving soil health, all of which contribute to sustainable farming, fishing, and other nature-based livelihoods.",Both Stages,Published on Platform
Access to Social Services,"Ensuring that all individuals, particularly marginalized groups, can reach and utilize essential services such as healthcare, education, and social protection without barriers.",Both Stages,Published on Platform
Improved Quality of Social Services,"Enhancing the effectiveness, safety, and responsiveness of healthcare, education, social protection, and justice services to meet community needs.",2: Outcome,Published on Platform
Increased knowledge and skills,"Enhancing the knowledge, skills, and capacities of individuals and communities to make informed decisions, improve livelihoods, and actively participate in governance and sustainability efforts. ",2: Outcome,Published on Platform
Transformations in Gender and Social Inclusion,"Transformations in gender and social inclusion occur when systemic barriers to equity are dismantled, power imbalances are addressed, and all individuals—especially those historically marginalised—can fully participate in and benefit from social, economic, and political life. These changes lead to greater agency, improved well-being, and more inclusive, accountable governance that reflects the rights, needs, and perspectives of diverse communities.",Both Stages,Published on Platform
"Indigenous Knowledge Recognised, Practised & Sustained","Indigenous knowledge and cultural heritage are actively recognised, integrated, and protected within land use, conservation, and development practices. Indigenous Peoples and local communities exercise agency in leading and transmitting their ecological knowledge, ensuring its continuity, influence, and intergenerational transfer.",Both Stages,Published on Platform
Social Cohesion and Strengthened Social Capital,"Communities experience a sense of connection, mutual trust, and shared responsibility. Social networks are inclusive and supportive, enabling collaboration across groups and increasing resilience to shocks and conflict. Strong social capital fosters cooperation, reinforces accountability, and strengthens long-term well-being.",Both Stages,Published on Platform
Human-Wildlife Conflict,"This theme addresses the systematic management of interactions between local communities and wildlife to minimize negative impacts on both human livelihoods and biodiversity. It focuses on shifting from reactive, lethal measures to proactive, non-lethal co-existence strategies. Monitoring under this theme evaluates the effectiveness of physical and digital deterrents, the efficiency of compensation or insurance schemes for crop/livestock loss, and the integration of traditional ecological knowledge into modern conservation protocols. The objective is to ensure that conservation goals do not come at the expense of community safety or economic security.",Both Stages,Published on Platform
Youth Empowerment,"This theme evaluates the mechanisms by which a project integrates young people (ages 15–35, or as contextually defined) into leadership, decision-making, and economic structures. It focuses on the transition from passive participation to active agency, ensuring that the youth are equipped with the technical skills and institutional access required to sustain project activities over the long term. Monitoring within this theme tracks investments in vocational training, the formalization of youth councils, and the reduction of barriers to land, credit, and employment within the project’s value chain.",Both Stages,Published on Platform
Preparatory Planning,"It refers to the structured, participatory, and legally grounded processes undertaken prior to project implementation to ensure ethical legitimacy, legal clarity, social equity, and ecological integrity. It assesses whether foundational safeguards, rights recognition, baseline evidence, and risk mitigation mechanisms are in place before any physical land-use changes or carbon-related activities begin. This theme evaluates the depth of community inclusion, legal preparedness, and institutional accountability during the project design phase.",1: Output,Published on Platform
Recruitment and Management,"Ensuring that project employment systems are inclusive, fair, and protective of worker dignity. Recruitment and Management safeguards equitable access to jobs, fair compensation, safe working conditions, and accountable labor governance. It ensures that economic benefits generated by the project translate into decent work opportunities for local communities, while protecting workers’ rights and wellbeing.",1: Output,Published on Platform
Teaching Practice & Facilitation,"Focuses on how teaching and facilitation are designed, delivered, and supported to enable meaningful learning, especially for vulnerable learners.",Both Stages,In Review
Coordination  & Collective Learning,"Examines how actors align, share learning, and reduce fragmentation.",Both Stages,In Review
Public Sector Engagement,Focuses on how public institutions engage with and adopt effective approaches.,Both Stages,In Review
School  & Teacher Systems,Addresses institutional conditions that enable sustained improvement in learning quality.,Both Stages,In Review
Community  & Partnership Engagement,"The relationships and collaboration approaches that build trust, shared ownership, and collective
  action with communities, stakeholders, and partner organisations.",2: Outcome,In Review
Organisational Capacity & Sustainability,"How the organisation is structured, resourced, and managed to deliver its strategy well over time —
  including leadership, systems, culture, and financial sustainability.",Both Stages,In Review
Learning & Accountability Culture,Concerns how evidence and reflection inform decisions and adaptation.,Both Stages,In Review
Safeguarding & Protection,Focuses on protecting children and surrounding communities from harm.,Both Stages,In Review
Equity & Inclusion,Ensures equity considerations are intentionally embedded across all work.,Both Stages,In Review
Contribution  & Leadership,Concerns how young people contribute to and take leadership roles.,Both Stages,In Review
Pathway Awareness & Navigation,Examines how young people understand and navigate education and work pathways.,Both Stages,In Review
Transferable & Applied Skills,"Focuses on skills that support adaptability, work readiness, and lifelong learning.",Both Stages,In Review
Caregiver  Learning & Empowerment,"Relates to caregivers’ own learning, confidence, and capacity to support children.",Both Stages,In Review
Home Conditions for Learning,Examines household conditions and norms that affect learning participation.,Both Stages,In Review
Caregiver engagement in Learning,Focuses on how caregivers support and value children’s education.,Both Stages,In Review
Agency & Aspirations,Explores how learners understand themselves and their future possibilities.,Both Stages,In Review
Readiness to Learn,Addresses conditions that enable learners to participate meaningfully in learning.,Both Stages,In Review
