Field Name,Suggested validation,Data Type,Question,Response options,Helper text,Hover Text,Conditional On
Section 1 — Site Identity,,,,,,,
site_name,Required; max 120 characters,Short text,What is the name of this site?,,Enter the name used locally to identify this site.,This defines the unit of analysis for comparison across sites.,
site_country,Required,Single select (country list),In which country is this site located?,,Select the country where this site is located.,Structured geography allows comparison across sites and supports regional analysis.,
site_admin_level_1,Required,Single select or taggable select,What is the primary administrative region for this site?,,Select the main administrative region where this site is located.,"Structured geography allows comparison across sites and supports regional analysis of participation, risk, and outcomes.",
site_admin_level_2,Required,Single select or taggable select,"What is the secondary administrative unit? (e.g., District / County)",,Select the district or equivalent administrative unit for this site.,District-level data helps identify local variation and cluster similar sites for analysis.,
site_admin_level_3,Optional,Single select or taggable select,"Is there a more local administrative unit relevant here? (e.g., Ward / Sub-county / Municipality)",,"If relevant, select the most local administrative unit associated with this site.","More granular location data improves precision when comparing access, safeguarding, and inclusion conditions across sites.",
site_geography_context_summary,Optional,Short text,Are there any geographic characteristics that affect delivery at this site?,,"Describe anything distinctive about this location (e.g., remote, urban informal settlement, border area).",,
site_implementation_setting_types,Required,Multi-select (enum),Where does implementation take place at this site?,"School / education setting
Community setting
Health facility / clinic
Safe space / drop-in centre
Workplace / employer-linked setting
Justice / protection setting
Household / home-based
Digital / remote",Confirm or update the delivery settings specific to this site.,Delivery settings may vary across sites and affect safeguarding and access.,
site_population_estimate,Optional,Integer,Approximately how many people are directly engaged in the work at this site?,,Provide your best estimate of the number of direct participants at this site.,This helps compare scale and reach across sites.,
Section 2 — Access and Safeguarding Delta,,,,,,,
site_access_differs_from_project,Required,Yes / No,Does access at this site differ from the overall project baseline?,,Select Yes if barriers or access conditions are meaningfully different here.,This avoids repeating baseline data and focuses on local differences.,
