Question Text,Answer Type,Description,Has Conditional Logic?,Indicator database,Logic Summary,Platform Question ID. Populated after upload,Required?,Response option set,Stakeholder Category,Status,Status 1,Subtheme,Theme
How many other people in this village do you think have experienced this change?,Scale,,Yes,Perceived Reach of the Outcome (https://www.notion.so/Perceived-Reach-of-the-Outcome-31b60bfb014e80e1abf5fcb7686a0f0f?pvs=21),Only answered if has responded yes to Have you or people within your household experienced this change?,,No,Perceived Reach - 5 point (https://www.notion.so/Perceived-Reach-5-point-32160bfb014e80f28d64c5a77bf56459?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21)
"For how long do you think people will benefit from this change? ",,,Yes,Expected Duration of the Outcome (https://www.notion.so/Expected-Duration-of-the-Outcome-31b60bfb014e804d9020d094a4bfe2ac?pvs=21),Only answered if has responded yes to Have you or people within your household experienced this change?,,No,Duration – 5 Point (https://www.notion.so/Duration-5-Point-30a60bfb014e8043a079e8236e2f593e?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21)
"If this change stopped happening, how much money would your household need to receive each month to make up for losing it?
",Number,"Some changes improve people’s lives even though they do not involve money directly.
The next question asks you to think about how much money would be needed to make up for losing this change.",Yes,Stakeholder Monetary Valuation of the Outcome (https://www.notion.so/Stakeholder-Monetary-Valuation-of-the-Outcome-31b60bfb014e8082a83dfa47302efe02?pvs=21),Only answered if has responded yes to Have you or people within your household experienced this change?,,No,Monetary Value – Compensation Scale (5 Point) (https://www.notion.so/Monetary-Value-Compensation-Scale-5-Point-32160bfb014e80379b9ee8cdda84887c?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21)
Have you or people within your household experienced this change?,Checkboxes,,No,Personal experience of the outcome (https://www.notion.so/Personal-experience-of-the-outcome-31860bfb014e80039473d866847067fb?pvs=21),,,Yes,Yes / No / Don’t Know (https://www.notion.so/Yes-No-Don-t-Know-30a60bfb014e8012b2c1f93c372e7eff?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21)
How important is this change to you?,Scale,,Yes,Perceived Importance of the Outcome (https://www.notion.so/Perceived-Importance-of-the-Outcome-31b60bfb014e806b9f74fa170eca8fae?pvs=21),Only answered if has responded yes to Have you or people within your household experienced this change?,,No,Importance – 5 Point (https://www.notion.so/Importance-5-Point-32160bfb014e8018bb1bc85df942c3f6?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21)
"Thinking about the change you described, how much did the carbon revenue contribute to this change?",Scale,"In your view, how much of this change happened because of carbon revenue?",Yes,Perceived Attribution of the Outcome to the Intervention (https://www.notion.so/Perceived-Attribution-of-the-Outcome-to-the-Intervention-31b60bfb014e80fba9a2d52d6568b175?pvs=21),Only answered if has responded yes to Have you or people within your household experienced this change?,,No,Attribution – Contribution Scale (5 Point) (https://www.notion.so/Attribution-Contribution-Scale-5-Point-32160bfb014e8092a057ee4501d63d61?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21)
"Thinking about the change you described, has this change caused any problems, losses, or negative effects for you, your household, or others in the community?",Checkboxes,"For example, this could include new costs, extra work, conflicts, restrictions, or other difficulties.",Yes,Perceived Displacement or Trade-offs Associated with the Outcome (https://www.notion.so/Perceived-Displacement-or-Trade-offs-Associated-with-the-Outcome-31b60bfb014e80a98cddf6b95ce137a8?pvs=21),Only answered if has responded yes to Have you or people within your household experienced this change?,,No,Perceived Trade-offs – 5 Point (https://www.notion.so/Perceived-Trade-offs-5-Point-32160bfb014e8047bf19d82632ae4691?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21)
What kind of problems or negative effects has this change caused?,Multiple Choice,,Yes,Perceived Displacement or Trade-offs Associated with the Outcome (https://www.notion.so/Perceived-Displacement-or-Trade-offs-Associated-with-the-Outcome-31b60bfb014e80a98cddf6b95ce137a8?pvs=21),Only answered if has responded 2-5 on the perceived trade-offs scale,,No,Types of Negative Effects or Trade-offs (https://www.notion.so/Types-of-Negative-Effects-or-Trade-offs-32160bfb014e8057ac95d325584d075c?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21)
"Different groups in this community (such as women, youth, or poorer households) are included in decisions about this intervention.",Scale,"To what extent do you agree or disagree with the following statement?
",No,Perceived inclusion of diverse groups in decision-making (https://www.notion.so/Perceived-inclusion-of-diverse-groups-in-decision-making-31e60bfb014e8061aa07c84d75b70eb8?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Inclusiveness and Representation in Village Decision-Making (https://www.notion.so/Perceived-Inclusiveness-and-Representation-in-Village-Decision-Making-31b60bfb014e809bbfbfd2029225ca6c?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
Decisions about this intervention reflect the views of different groups in the community.,Scale,"To what extent do you agree or disagree with the following statement?
",No,Perceived inclusion of diverse groups in decision-making (https://www.notion.so/Perceived-inclusion-of-diverse-groups-in-decision-making-31e60bfb014e8061aa07c84d75b70eb8?pvs=21),,,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Perceived Inclusiveness and Representation in Village Decision-Making (https://www.notion.so/Perceived-Inclusiveness-and-Representation-in-Village-Decision-Making-31b60bfb014e809bbfbfd2029225ca6c?pvs=21),Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21)
