Sub-theme name,Descriptor,Development status,Practice domain,ToC Stage,Date approved,Theme database,Framework database,Decision Notes,Approved By,Status
Perceived Social Burdens and Tensions Associated with the Intervention,"This sub-theme captures stakeholder perceptions of social burdens, restrictions, or tensions associated with an intervention, including concerns about conflict, exclusion, or negative social consequences.",Approved,Social Legitimacy Assessment,2: Outcome,"March 6, 2026",Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21),,,Kate McAlpine,Published to site
Perceived Continuity of the Intervention and Its Benefits,"This construct captures stakeholder perceptions of whether the intervention, its associated benefits, and the rules governing it are likely to continue over time without interruption, sudden change, or withdrawal.",Approved,Social Legitimacy Assessment,2: Outcome,"March 6, 2026",Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21),,,Kate McAlpine,Published to site
Perceived Trust in Implementers,"This sub-theme captures stakeholder perceptions of the integrity, reliability, and good faith of those responsible for implementing the intervention.",Approved,Social Legitimacy Assessment,2: Outcome,"March 6, 2026",Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21),,,Kate McAlpine,Published to site
Perceived Inclusiveness and Representation in Village Decision-Making,"This sub-theme captures stakeholder perceptions of whether decision-making processes related to an intervention are inclusive, representative, and allow meaningful participation across different groups.
",Approved,Social Legitimacy Assessment,2: Outcome,"March 6, 2026",Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21),,,Kate McAlpine,Published to site
Perceived Fairness of Benefit Distribution Within the Village,"This sub-theme captures stakeholder perceptions of whether the benefits associated with an intervention are distributed equitably among households or community members, including whether any groups are perceived to be favoured or disadvantaged.
",Approved,Social Legitimacy Assessment,2: Outcome,"March 6, 2026",Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21),,,Kate McAlpine,Published to site
Perceived Importance and Value of Improved Household Health,"This sub-theme captures stakeholder perceptions of the importance and value of improvements in personal or household health associated with increased access to preventative and local healthcare services, including earlier treatment, improved maternal health, and reduced severity of illness.",Approved,Social Value,2: Outcome,"March 6, 2026",Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),,,Kate McAlpine,Published to site
"Perceived Importance and Value of Increased Reliability of Farming Conditions
","This sub-theme captures stakeholder perceptions of the importance and value of increased reliability of farming conditions, including greater confidence in seasonal timing and crop yields.
",Approved,Social Value,2: Outcome,"March 6, 2026",Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),,,Kate McAlpine,Published to site
"Perceived Importance and Value of Increased Household Income
","This sub-theme captures stakeholder perceptions of the importance and value of increases in household income resulting from expanded income-generating activities, including those enabled through access to community-based savings and credit mechanisms.",Approved,Social Value,2: Outcome,"March 6, 2026",Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),,,Kate McAlpine,Published to site
Perceived Importance and Value of Reduced Caregiving Burden,"This sub-theme captures stakeholder perceptions of the importance and value of reduced or redistributed caregiving responsibilities within households, and the extent to which changes in care burden alter how time is allocated.
",Approved,Social Value,2: Outcome,"March 6, 2026",Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),,,Kate McAlpine,Published to site
Perceived Importance and Value of Improved School Attendance and Participation,This sub-theme captures stakeholder perceptions of the importance and value of improved school attendance and consistent participation associated with school feeding and related educational support.,Approved,Social Value,2: Outcome,"March 6, 2026",Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),,,Kate McAlpine,Published to site
