"Field Name","Compulsory?","Data Type","Description","User-facing copy","Field Label","Helper Text","Hover Text"
"certification_standard","Yes","array","RT TREES
OxCarbon
Verra
Plan Vivo
Puro Earth
American Carbon Registry
Social Carbon
Ecosystem Restoration Standards
Climate Action Reserve
Global Carbon Council
The Integrity Council for Voluntary Carbon Markets
Green-e
UK Standards for Gender and Vulnerable groups      Other (please specify)","**Field Label:** What certification standard does your project follow?
**Helper Text:** Select all that apply from the list or add others.
**Hover Text:** We ask this to understand how your project aligns with recognised standards, what documentation you’ll need to provide, and which impact indicators are most relevant.","What certification standard does your project follow?","Select all that apply from the list or add others.","We ask this to understand how your project aligns with recognised standards, what documentation you’ll need to provide, and which impact indicators are most relevant."
"country","Yes","string","Country name (ISO standard)","**Field Label:** Country
 **Helper Text:** Select the country where your project is based.
 **Hover Text:** We ask this to ensure your project is linked to the correct country context and frameworks.","Country","Select the country where your project is based.","We ask this to ensure your project is linked to the correct country context and frameworks."
"admin_level_1","Yes","string","First-level administrative unit (e.g. Region, County, State)","**Field Label:** First-level administrative unit
 **Helper Text:** Enter the name of the region, county, or province (as locally defined).
 **Hover Text:** We ask this to accurately place your project within national administrative boundaries.","First-level administrative unit","Enter the name of the region, county, or province (as locally defined).","We ask this to accurately place your project within national administrative boundaries."
"admin_level_2","Yes","string","Second-level administrative unit (e.g. District, Sub-county)","**Field Label:** Second-level administrative unit
 **Helper Text:** Enter the name of the district or sub-county (as locally defined).
 **Hover Text:** We ask this to support detailed mapping, stakeholder targeting, and contextual analysis.","Second-level administrative unit","Enter the name of the district or sub-county (as locally defined).","We ask this to support detailed mapping, stakeholder targeting, and contextual analysis."
"admin_level_3","Yes","string","Third-level unit (e.g. Ward, Location, Parish)","Field Label: Third-level administrative unit
Helper Text: Enter the name of the ward, parish, or local area where your project is based.
Hover Text: “We ask this to ensure local-level institutions and boundaries are accurately represented in your project setup.","Third-level administrative unit","Enter the name of the ward, parish, or local area where your project is based.","“We ask this to ensure local-level institutions and boundaries are accurately represented in your project setup."
"villages","Yes","string","List of villages/communities","**Field Label:** Villages
**Helper Text:** Provide village names
**Hover Text:** We ask this to understand the scale of potential social impact and engagement.","Villages","Provide village names","We ask this to understand the scale of potential social impact and engagement."
"gps_coordinates","Yes","string","Latitude/Longitude of approximate project centre","**Field Label:** GPS coordinates
 **Helper Text:** Provide the approximate central location of the project (e.g. from Google Maps).
 **Hover Text:** We ask this to allow spatial mapping and integration with satellite or GIS data layers.","GPS coordinates","Provide the approximate central location of the project (e.g. from Google Maps).","We ask this to allow spatial mapping and integration with satellite or GIS data layers."
"shapefiles_uploaded","No","boolean","Triggers link to documents table for uploads","**Field Label:** Upload shapefiles
**Helper Text:** Attach your project boundary shapefile.
**Hover Text:** We ask this so your site data can be accurately mapped and visualised.","Upload shapefiles","Attach your project boundary shapefile.","We ask this so your site data can be accurately mapped and visualised."
"hectare_coverage","Yes","number","Total hectares the project covers","**Field Label:** Hectare coverage
**Helper Text:** Enter the total project area.
**Hover Text:** We ask this to understand the project’s scale for future data collection and validation.","Hectare coverage","Enter the total project area.","We ask this to understand the project’s scale for future data collection and validation."
"ecological_zone","Yes","array","Tropical rainforest (lowland or montane)
Dry deciduous forest
Miombo woodland
Temperate deciduous forest
Boreal forest (taiga)
Mixed conifer–broadleaf forest
Riparian forest
Savannah
Temperate grassland or steppe
Acacia–commiphora bushland
Alpine grassland or heath
Shrubland or scrubland (e.g. Mediterranean maquis)
Mangrove
Wetland / floodplain
Peatland / bog
Riverine / delta system
Semi-arid shrubland
Cold desert (e.g. Tibetan Plateau)
Hot desert (e.g. Sahara, Gobi)
Agro-ecosystem (farming landscape)
Pastoral landscape
Urban / peri-urban mosaic
Plantation forest / managed timber area
Other (please specify)","**Field Label:** Ecological zone
**Helper Text:** Name the main ecosystems covered by the project.
**Hover Text:** We ask this to link your project’s setting with ecological priorities and risks.","Ecological zone","Name the main ecosystems covered by the project.","We ask this to link your project’s setting with ecological priorities and risks."
"governance_notes","Yes","string","Free-text summary of project governance structures","**Field Label:** Describe your governance structure
**Helper Text:** Explain how the project is governed at different levels. You might include:
Who gave permission for the project (e.g., village assembly, district council, government agency)
Which organisations or actors are involved in implementation
Who is responsible for oversight, enforcement, or reporting
Whether any public–private or customary–formal partnerships are in place
**Hover Text:** We ask this to understand the decision-making structures, oversight responsibilities, and legitimacy of your project across local, regional, and national levels. This helps align stakeholder engagement and compliance processes.","Describe your governance structure","Explain how the project is governed at different levels. You might include:
Who gave permission for the project (e.g., village assembly, district council, government agency)
Which organisations or actors are involved in implementation
Who is responsible for oversight, enforcement, or reporting
Whether any public–private or customary–formal partnerships are in place","We ask this to understand the decision-making structures, oversight responsibilities, and legitimacy of your project across local, regional, and national levels. This helps align stakeholder engagement and compliance processes."
