Sub-theme name,Approved By,Date approved,Decision Notes,Descriptor,Development status,Framework database,Indicators,Practice domain,Status,Temp Filter,Theme database,ToC Stage
Adoption into public systems,,,,Integration of effective practices into public-sector plans and routines.,,,"In the past year, has any practice or approach developed through this programme been formally incorporated into a government plan, official guideline, or routine practice by a public institution? (https://www.notion.so/In-the-past-year-has-any-practice-or-approach-developed-through-this-programme-been-formally-incorp-34060bfb014e81b89120e84f2d3a01cb?pvs=21), Which practice, which institution, and through what document or mechanism was it formally incorporated? (https://www.notion.so/Which-practice-which-institution-and-through-what-document-or-mechanism-was-it-formally-incorporat-34060bfb014e818d88f1d1cacbfd3ee9?pvs=21), For any programme practices that were formally adopted by a government institution in a previous year, are those practices still actively in use by that institution today? (https://www.notion.so/For-any-programme-practices-that-were-formally-adopted-by-a-government-institution-in-a-previous-yea-34060bfb014e81a59516fe508ae3bc9a?pvs=21), Which practice, and what is your evidence that it is still actively in use? (https://www.notion.so/Which-practice-and-what-is-your-evidence-that-it-is-still-actively-in-use-34060bfb014e81df89e4f89163dc295b?pvs=21)",,Not Published,Youth Impact,Public Sector Engagement (https://www.notion.so/Public-Sector-Engagement-31360bfb014e8063ac84ee5a5f1b286e?pvs=21),1: Output
Adult learning and peer support,,,,Caregivers’ participation in learning and mutual peer support.,,,"In the past six months, have you attended any group learning sessions or workshops organised by the programme for caregivers? (https://www.notion.so/In-the-past-six-months-have-you-attended-any-group-learning-sessions-or-workshops-organised-by-the--33f60bfb014e8193b2f8fa961edd1378?pvs=21), How many of those sessions or workshops have you attended in the past six months? (https://www.notion.so/How-many-of-those-sessions-or-workshops-have-you-attended-in-the-past-six-months-33f60bfb014e815686b5ca9f95c0c0f7?pvs=21), In the past three months, have you talked with another caregiver to share advice, information, or support about your child's learning or wellbeing? (https://www.notion.so/In-the-past-three-months-have-you-talked-with-another-caregiver-to-share-advice-information-or-su-33f60bfb014e81598754df1bce89aec8?pvs=21), What did you discuss, and were you giving support, receiving it, or both? (https://www.notion.so/What-did-you-discuss-and-were-you-giving-support-receiving-it-or-both-33f60bfb014e816d8fc2d72658b4cdc5?pvs=21), Since joining the programme, have you learned something new about child development or how to support your child's learning at home? (https://www.notion.so/Since-joining-the-programme-have-you-learned-something-new-about-child-development-or-how-to-suppor-33f60bfb014e8187872aeb4b85e765c5?pvs=21), What is something specific you learned, and where did you learn it? (https://www.notion.so/What-is-something-specific-you-learned-and-where-did-you-learn-it-33f60bfb014e81c28151cc0edf9a0ee0?pvs=21), Are you able to read and understand the written materials your child brings home from school? (https://www.notion.so/Are-you-able-to-read-and-understand-the-written-materials-your-child-brings-home-from-school-33f60bfb014e81d58fcad624fa05b53b?pvs=21), Are you able to help your child with the number work or calculations they bring home from school? (https://www.notion.so/Are-you-able-to-help-your-child-with-the-number-work-or-calculations-they-bring-home-from-school-33f60bfb014e8184a9c4d00e956dcaad?pvs=21), How much do you agree with this statement: I feel more confident in my ability to support my child's learning than I did when I first joined the programme. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-feel-more-confident-in-my-ability-to-support-my-child-s-33f60bfb014e8198aaa3d8b79e4b2b8d?pvs=21), How much do you agree with this statement: I feel confident helping my child with the work they bring home from school. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-feel-confident-helping-my-child-with-the-work-they-brin-33f60bfb014e811880fde0fd92714006?pvs=21), How much do you agree with this statement: I feel confident speaking with teachers or school staff about my child's progress or raising a concern. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-feel-confident-speaking-with-teachers-or-school-staff-a-33f60bfb014e81e39dd4c4380b1d577f?pvs=21)",,Not Published,Youth Impact,Caregiver  Learning & Empowerment (https://www.notion.so/Caregiver-Learning-Empowerment-31360bfb014e804da3a6fc38406c31d0?pvs=21),2: Outcome
Caregiver-school relationships,,,,"Quality of communication and collaboration between caregivers and schools.
",,,"In the current school term, have you had a conversation with a teacher or school staff member about how your child is doing in their learning? (https://www.notion.so/In-the-current-school-term-have-you-had-a-conversation-with-a-teacher-or-school-staff-member-about--33f60bfb014e81c59a50f3c1af95c6a7?pvs=21), Who started that conversation, and what did you discuss about your child's learning? (https://www.notion.so/Who-started-that-conversation-and-what-did-you-discuss-about-your-child-s-learning-33f60bfb014e817c87c6e053fd0deb59?pvs=21), How much do you agree with this statement: When I visit the school or speak with school staff, I feel welcome. (https://www.notion.so/How-much-do-you-agree-with-this-statement-When-I-visit-the-school-or-speak-with-school-staff-I-fee-33f60bfb014e8192a645fbe9f3248f09?pvs=21), How much do you agree with this statement: School staff treat me with respect when I engage with them. (https://www.notion.so/How-much-do-you-agree-with-this-statement-School-staff-treat-me-with-respect-when-I-engage-with-the-33f60bfb014e81c392d1e4975a2f9f89?pvs=21), In the current school term, have you attended any meetings, events, or activities organised by the school? (https://www.notion.so/In-the-current-school-term-have-you-attended-any-meetings-events-or-activities-organised-by-the-s-33f60bfb014e814a93eaeb351a88a81c?pvs=21), How many school meetings, events, or activities have you attended so far this term? (https://www.notion.so/How-many-school-meetings-events-or-activities-have-you-attended-so-far-this-term-33f60bfb014e818fb804c4368e67a9e3?pvs=21), How much do you agree with this statement: I have an important role to play in helping my child learn. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-have-an-important-role-to-play-in-helping-my-child-lear-33f60bfb014e815d8e93fee3018c44d8?pvs=21), How much do you agree with this statement: What I do at home makes a difference to how well my child learns at school. (https://www.notion.so/How-much-do-you-agree-with-this-statement-What-I-do-at-home-makes-a-difference-to-how-well-my-child-33f60bfb014e8148907de7415aca0532?pvs=21), How much do you agree with this statement: It is my responsibility to keep myself informed about what my child is learning at school. (https://www.notion.so/How-much-do-you-agree-with-this-statement-It-is-my-responsibility-to-keep-myself-informed-about-wha-33f60bfb014e8109bfd5d69b16ef9a9f?pvs=21)",,Not Published,Youth Impact,Caregiver engagement in Learning (https://www.notion.so/Caregiver-engagement-in-Learning-31360bfb014e80a1b7f9fec8fc241b1a?pvs=21),2: Outcome
Child protection and ethical practice,,,,"Safeguarding standards, ethical relationships, and boundaries.",,,,,Not Published,Youth Impact,Safeguarding & Protection (https://www.notion.so/Safeguarding-Protection-31360bfb014e804ca6f6ff208714eb5f?pvs=21),1: Output
Classroom interaction and engagement,,,,"The quality of participation, dialogue, and interaction between learners and educators.",,,"How much do you agree with this statement: In my learning sessions, I regularly have the chance to share my ideas, answers, or opinions. (https://www.notion.so/How-much-do-you-agree-with-this-statement-In-my-learning-sessions-I-regularly-have-the-chance-to-s-34060bfb014e81b3a836cfbdffba2cdd?pvs=21), How much do you agree with this statement: In my learning sessions, I feel genuinely invited and welcomed to participate and contribute. (https://www.notion.so/How-much-do-you-agree-with-this-statement-In-my-learning-sessions-I-feel-genuinely-invited-and-wel-34060bfb014e811b9417e5b2eb662a0f?pvs=21), How much do you agree with this statement: In my learning sessions, all learners get a fair chance to participate, not just the same few people. (https://www.notion.so/How-much-do-you-agree-with-this-statement-In-my-learning-sessions-all-learners-get-a-fair-chance-t-34060bfb014e81c9b544fdab7f790333?pvs=21), How much do you agree with this statement: My teacher or facilitator makes an effort to involve learners who are quieter or who do not usually put their hand up. (https://www.notion.so/How-much-do-you-agree-with-this-statement-My-teacher-or-facilitator-makes-an-effort-to-involve-lear-34060bfb014e81abb5bfdbc97f533e30?pvs=21)",,Not Published,Youth Impact,Teaching Practice & Facilitation (https://www.notion.so/Teaching-Practice-Facilitation-31360bfb014e80b0bf16e1578eb3ade7?pvs=21),1: Output
"Communication, problem-solving, digital skills",,,,"Development of practical, digital, and interpersonal skills.",,,,,Not Published,Youth Impact,Transferable & Applied Skills (https://www.notion.so/Transferable-Applied-Skills-31360bfb014e80eb98bbe10289a71345?pvs=21),2: Outcome
"Communications, Visibility & Strategic Messaging",,,,"How an organisation communicates its mission, work, and value to external audiences to build trust, legitimacy, influence, and support.",,,"How much do you agree with this statement: The materials and communications this programme produces accurately represent its mission and work to external audiences. (https://www.notion.so/How-much-do-you-agree-with-this-statement-The-materials-and-communications-this-programme-produces--34060bfb014e81f98300f6ac7acc1cfd?pvs=21), How much do you agree with this statement: This programme is reaching the external audiences it needs to in order to build support for its work. (https://www.notion.so/How-much-do-you-agree-with-this-statement-This-programme-is-reaching-the-external-audiences-it-need-34060bfb014e813b9d72ecd908652d2d?pvs=21)",,Not Published,Youth Impact,Organisational Capacity & Sustainability (https://www.notion.so/Organisational-Capacity-Sustainability-31360bfb014e80f2b6b6ca23c67707a8?pvs=21),1: Output
Community Engagement & Accountability,,,,"How communities are meaningfully involved, listened to, and responded to through participation, feedback loops, and accountability practices.",,,"In the past 12 months, has the programme offered you a specific opportunity to share your views or feedback on how it is run or what it should do? (https://www.notion.so/In-the-past-12-months-has-the-programme-offered-you-a-specific-opportunity-to-share-your-views-or-f-33f60bfb014e811aab64d67840829a0d?pvs=21), What kind of opportunity was it, and did you take part? (https://www.notion.so/What-kind-of-opportunity-was-it-and-did-you-take-part-33f60bfb014e8167b70ec674279d58a6?pvs=21), How much do you agree with this statement: When the programme asked for my views, I felt my input was genuinely wanted, not just a formality. (https://www.notion.so/How-much-do-you-agree-with-this-statement-When-the-programme-asked-for-my-views-I-felt-my-input-wa-33f60bfb014e815dacafcb7b2cc6bdc4?pvs=21), How much do you agree with this statement: I felt free to say what I really thought during the consultation or feedback session. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-felt-free-to-say-what-I-really-thought-during-the-consu-33f60bfb014e81889a31eae4315f25b8?pvs=21), How much do you agree with this statement: I believe that what I shared during the consultation had a chance of making a difference to how the programme works. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-believe-that-what-I-shared-during-the-consultation-had--33f60bfb014e81acb716e997be025294?pvs=21), Do you know of a specific way to raise a concern or complaint about this programme if you needed to? (https://www.notion.so/Do-you-know-of-a-specific-way-to-raise-a-concern-or-complaint-about-this-programme-if-you-needed-to-33f60bfb014e8182aa6ad1e6bc93d192?pvs=21), What is that way, and do you feel you could use it without anything bad happening to you as a result? (https://www.notion.so/What-is-that-way-and-do-you-feel-you-could-use-it-without-anything-bad-happening-to-you-as-a-result-33f60bfb014e813d80b8e1f0d4b807e6?pvs=21), How much do you agree with this statement: When concerns are raised with this programme, they are taken seriously. (https://www.notion.so/How-much-do-you-agree-with-this-statement-When-concerns-are-raised-with-this-programme-they-are-ta-33f60bfb014e81fa8bb1fcdb78956d3a?pvs=21), How much do you agree with this statement: This programme is honest with the community about what it is doing and why. (https://www.notion.so/How-much-do-you-agree-with-this-statement-This-programme-is-honest-with-the-community-about-what-it-33f60bfb014e818e90d7c50ac6a42bc2?pvs=21), How much do you agree with this statement: This programme treats people in this community as genuine partners, not just beneficiaries. (https://www.notion.so/How-much-do-you-agree-with-this-statement-This-programme-treats-people-in-this-community-as-genuine-33f60bfb014e8192b9d6e3280f1bbfb0?pvs=21), How much do you agree with this statement: The concern or issue I raised with the programme was addressed in a way that satisfied me. (https://www.notion.so/How-much-do-you-agree-with-this-statement-The-concern-or-issue-I-raised-with-the-programme-was-addr-33f60bfb014e8135bc57ec6c2a295964?pvs=21), Can you describe what happened after you raised your concern, and whether you felt the outcome was fair? (https://www.notion.so/Can-you-describe-what-happened-after-you-raised-your-concern-and-whether-you-felt-the-outcome-was-f-33f60bfb014e815d923af0413dcd9ef1?pvs=21)",,Not Published,Youth Impact,Community  & Partnership Engagement (https://www.notion.so/Community-Partnership-Engagement-31360bfb014e801f972cde0681cd4b15?pvs=21),2: Outcome
Confidence and decision-making,,,,"The extent to which caregivers feel confident in their role, exercise informed decision-making regarding their children’s education and wellbeing, and actively shape household choices that support consistent learning participation.",,,"How much do you agree with this statement: I feel confident helping my child understand the work they bring home from school. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-feel-confident-helping-my-child-understand-the-work-the-34060bfb014e81ed8e69fcc84c44a426?pvs=21), How much do you agree with this statement: I can tell when my child is struggling with something at school and I know what to do about it. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-can-tell-when-my-child-is-struggling-with-something-at--34060bfb014e81298bb9fe7346bd4da3?pvs=21), How much do you agree with this statement: I feel confident speaking with teachers or school staff if I have a concern about my child's learning. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-feel-confident-speaking-with-teachers-or-school-staff-i-34060bfb014e818e9a76e0f5d868fcb4?pvs=21), In the current school term, how often do you sit with your child while they do their homework or study? (https://www.notion.so/In-the-current-school-term-how-often-do-you-sit-with-your-child-while-they-do-their-homework-or-stu-34060bfb014e815ea8baece378d3d235?pvs=21), Since your last programme session, have you tried using anything you learned there to help your child with their learning at home? (https://www.notion.so/Since-your-last-programme-session-have-you-tried-using-anything-you-learned-there-to-help-your-chil-34060bfb014e812aba67ed5665bd8422?pvs=21), What did you try, and how did you use it with your child? (https://www.notion.so/What-did-you-try-and-how-did-you-use-it-with-your-child-34060bfb014e81378cdaf423c6e0945d?pvs=21)",,Not Published,Youth Impact,Home Conditions for Learning (https://www.notion.so/Home-Conditions-for-Learning-31360bfb014e80948c12f0d19415bde2?pvs=21),2: Outcome
Confidence and self-worth,,,,Learners’ belief in their abilities and capacity to cope with challenges.,,,,,Not Published,Youth Impact,Psychosocial  Wellbeing (https://www.notion.so/Psychosocial-Wellbeing-31360bfb014e808f9b72d26ed05a3420?pvs=21),2: Outcome
Disability-related access and support,,,,"The extent to which learners with disabilities are able to access appropriate accommodations, support systems, and inclusive practices that enable full participation in learning.",,,,,Not Published,Youth Impact,Readiness to Learn (https://www.notion.so/Readiness-to-Learn-31360bfb014e80e4a75aea741fce5a52?pvs=21),2: Outcome
Emotional safety & stability,,,,Learners’ sense of emotional security and stability in learning environments.,,,"How much do you agree with this statement: In the past month, I have generally felt emotionally safe in my learning space. (https://www.notion.so/How-much-do-you-agree-with-this-statement-In-the-past-month-I-have-generally-felt-emotionally-safe-34060bfb014e817fb56ec75ea9a85a28?pvs=21), How much do you agree with this statement: When I am going through something difficult, there is at least one person in this programme I can turn to. (https://www.notion.so/How-much-do-you-agree-with-this-statement-When-I-am-going-through-something-difficult-there-is-at--34060bfb014e818283eff7d64d3e3ab4?pvs=21), How much do you agree with this statement: The people who run this programme treat how I feel with care and respect. (https://www.notion.so/How-much-do-you-agree-with-this-statement-The-people-who-run-this-programme-treat-how-I-feel-with-c-34060bfb014e817fb58ad8eb721352a3?pvs=21), If you ever felt unsafe or were going through something very difficult, is there a specific person in this programme or community you would go to for help? If yes, who would that be, and what would you do? (https://www.notion.so/If-you-ever-felt-unsafe-or-were-going-through-something-very-difficult-is-there-a-specific-person-i-34060bfb014e810da53adb2ab13f8d2c?pvs=21)",,Not Published,Youth Impact,Psychosocial  Wellbeing (https://www.notion.so/Psychosocial-Wellbeing-31360bfb014e808f9b72d26ed05a3420?pvs=21),2: Outcome
Evidence use and adaptation,,,,Using learning and evidence to improve practice and strategy.,,,"How much do you agree with this statement: I regularly use data or evidence from monitoring to inform decisions I make about how I do my work. (https://www.notion.so/How-much-do-you-agree-with-this-statement-I-regularly-use-data-or-evidence-from-monitoring-to-infor-34060bfb014e816ebad0fd8160128a9a?pvs=21), How much do you agree with this statement: When this programme makes changes to how it works, those changes are usually based on evidence or learning from what we have found out. (https://www.notion.so/How-much-do-you-agree-with-this-statement-When-this-programme-makes-changes-to-how-it-works-those--34060bfb014e81cba6d7eade5a41b2d5?pvs=21), How much do you agree with this statement: When I refer to evidence or data in my work, I can point to a specific source that I have actually reviewed. (https://www.notion.so/How-much-do-you-agree-with-this-statement-When-I-refer-to-evidence-or-data-in-my-work-I-can-point--34060bfb014e8154998dde97033659c2?pvs=21), In the past year, can you name a specific change this programme made to how it works that came from something you or the team learned or found out from data or feedback? (https://www.notion.so/In-the-past-year-can-you-name-a-specific-change-this-programme-made-to-how-it-works-that-came-from--34060bfb014e81d78cbcf7a832ca0276?pvs=21), What was the change, and what evidence or feedback led to it? (https://www.notion.so/What-was-the-change-and-what-evidence-or-feedback-led-to-it-34060bfb014e812b8623e67531aa9c88?pvs=21)",,Not Published,Youth Impact,Learning & Accountability Culture (https://www.notion.so/Learning-Accountability-Culture-31360bfb014e80768cfafb1cf997e28b?pvs=21),1: Output
