Field Name,Suggested validation,Data Type,Question,Response options,Helper text,Hover Text:
Step 1 — Project basics and scope,,,,,,
project_title,Required; max 120 characters,Short text (string),What is the name of this project?,,Use the name you use internally or with partners,This helps identify the project across modules and reports.
sectors,Required,"Multi select (enum), with a taggable select for the Add new option",Which sector best describes this work?,"Education and learning
Protection and safeguarding
Health and wellbeing
Livelihoods and economic inclusion
Civic participation and leadership
Gender equality and GBV prevention
Mental health and psychosocial support
Sport, arts, and culture for development
Humanitarian response/displacement
Inclusive access to technology
Sexual and reproductive health and rights
Climate action
Add new <Taggable select>",Select the main areas this work contributes to. Choose all that apply.,This helps group similar projects and tailor insights to your sector context.
programme_stage,Required,Single select (enum),Which stage best describes where this work is right now?,"Design (not yet delivering)
Pilot / testing
Early implementation
Established delivery
Scaling / expansion
Transition / handover / exit",Select the option that best reflects where this work is right now.,Understanding your stage helps interpret results and shape realistic learning expectations.
project_start_date,Required,date,When does this project period start?,,Enter the planned or actual start date for this phase of work.,The timeline helps interpret progress and identify what counts as early signals versus longer-term outcomes.
project_end_date,Optional. End date must be after start date,date,When does this project period end?,,"Enter the planned end date for this phase, if known.",This helps frame learning windows and reporting cycles. You can update this if plans change.
project_summary_short,,"long text, max 600–900 chars",Project summary,,"In 2–3 sentences, describe what this project does and who it is for.",This summary provides context across the platform and anchors analysis in your own words.
Step 2 — Implementation,,,,,,
implementation_coverage,Required,Single select (enum),Where will this work be implemented?,"One location (single site)
Several locations in one area (multi-site, same region)
Several locations across different areas (multi-site, multiple regions)
National coverage
Across multiple countries",Select the option that best describes how widely this work is implemented.,"The coverage influences risk, complexity, and how outcomes are interpreted."
implementation_setting,Required,"Multi select (enum), with a taggable select for the Add new option",Where does implementation take place? (Select all that apply),"School / education setting
Community setting
Health facility / clinic
Safe space / drop-in centre
Workplace / employer-linked setting
Justice / protection setting (courts, police-linked services, etc.)
Household / home-based
Digital / remote
Add new (add tag)",Select all the settings where activities and support take place.,"Implementation settings affect access, safeguarding considerations, and participation patterns."
implementation_mechanism_type,Required,"Multi select (enum), with a taggable select for the Add new option",What is the main delivery mechanism? (How does the work reach people?),"Direct delivery by our organisation
Delivery through partners (we support / fund / train)
Shared delivery (co-delivery model)
Network / coalition approach
Digital-first delivery
Add new (add tag)",Select the options that best describes how the work reaches people.,"This helps interpret accountability, coordination, and quality assurance dynamics."
implementation_intensity,Required,Single select (enum),How intensive is engagement with participants?,"Light touch (one-off or short series)
Medium touch (ongoing, periodic engagement)
High touch (intensive / case-based / sustained)",Select how intensive engagement is for participants or institutions.,The intensity of engagement affects expected depth of change and timeframes.
core_components,Required,"Multi select (enum), with a taggable select for the Add new option",What are the core components of the programme? (Select all that apply),"Outreach and engagement
Group sessions / clubs
One-to-one support / mentoring
Case management
Referral pathways and follow-up
Training / capacity building for adults or institutions
Youth leadership / participation activities
Caregiver / family engagement
Community mobilisation / norms work
Materials / resources distribution
Financial support (cash, vouchers, fees)
Service quality improvement (processes, standards, tools)
Digital tools / platforms
Advocacy / influencing
Add new (add tag)",Select the main components that make up your project or programme.,These components describe your offer and help connect activities to outcomes.
Step 3 — Clarify the challenge,,,,,,
problem_headline,Required; max 200–280 characters,Short text (string),What is the core challenge this work is responding to? ,,Describe the core problem that you are addressing in one clear sentence.,A clear headline anchors analysis and keeps learning focused on the right issue.
problem_manifestations,Required; suggest “select up to 6”,"Multi select (enum), with a taggable select for the Add new option",What do you see happening in practice? ,"Low participation / engagement
Low attendance / retention
Poor learning / skills outcomes
Poor wellbeing / distress
Safety concerns / safeguarding incidents
Violence, exploitation, or abuse risks
Exclusion of particular groups
Stigma or discrimination
Weak service quality / inconsistent practice
Low trust in services or institutions
Limited access to opportunities (training, work, services)
Risky or harmful behaviours increasing
Weak coordination between services
Low caregiver / community support
Policy or system bottlenecks affecting delivery
Add new (add tag)",Select what you see happening in practice as a result of this problem.,Understanding how the problem shows up helps interpret change over time.
root_cause_factors,Required; suggest “select up to 8”,"Multi select (enum), with a taggable select for the Add new option",What factors are driving this challenge? ,"Poverty / financial barriers
Distance / transport / geographic access
Safety / insecurity
Social norms / expectations (gender, age, disability, etc.)
Stigma / discrimination
Family or caregiving strain
Low information / awareness of services
Low motivation / low perceived value of services
Weak service capacity (staffing, skills, workload)
Weak service quality (practice, materials, infrastructure)
Limited referral options / service gaps
Weak coordination between actors
Policy, regulation, or bureaucracy constraints
Funding constraints / short funding cycles
Power dynamics / gatekeeping / elite capture
Shocks (economic, climate, conflict, disease)
Add new (add tag)",Select the causes of this problem,Identifying drivers supports stronger learning and avoids focusing only on symptoms.
consequence_pathways,Required; suggest “select up to 6”,"Multi select (enum), with a taggable select for the Add new option","If this challenge continues, what does it lead to? ","Learning gaps persist or widen
Reduced progression or completion (school, training)
Reduced wellbeing / increased distress
Increased exposure to violence or exploitation
Reduced safety and protection
Reduced participation / voice / agency
Increased exclusion and inequality
Reduced access to livelihoods / income opportunities
Risk behaviours persist or increase
Strained family or community relationships
Reduced trust in institutions
Higher long-term service needs / higher costs later
Broader community harm or instability
Add new (add tag)",Select what this problem leads to if it is not addressed.,This helps clarify why the issue matters and what longer-term risks exist.
problem_confidence_rating,Required,Single select (enum),How confident are you in this problem analysis based on available evidence?,Low | Medium | High,Select how confident you are in your understanding of the problem.,Confidence levels help interpret findings and identify where further evidence may be needed.
Golden Circle synthesis,,,,,,
why_change_statement,Required; max 200–280 characters,Short text (string),Why does this work matter? What change should people experience if it succeeds?,,"In one sentence, describe why this work matters and what change should be experienced.",This anchors the purpose of the project and guides interpretation of success.
how_pathway_patterns,Required; suggest “select up to 6”,"Multi select (enum), with a taggable select for the Add new option",How will change happen through this work? ,"Direct support or services for participants
Skills or capability building
Improving service quality (tools, training, standards)
Strengthening systems or coordination (processes, roles)
Strengthening referral pathways
Creating safer environments / safeguarding strengthening
Changing social norms or behaviours
Increasing access to opportunities (education, work, services)
Influence and advocacy (policy or practice change)
Add new (add tag)",Select the main ways change is expected to happen.,This helps you start to think about the mechanisms of change and supports meaningful learning analysis.
success_signals_short,Required; suggest “select up to 6”,"Multi select (enum), with a taggable select for the Add new option",What early signals would tell you you are on track?,"Increased participation or engagement
Improved attendance / retention
Improved learning or skills
Improved wellbeing
Improved safety / fewer incidents
Reduced exclusion for priority groups
Improved service quality (consistency, responsiveness)
Stronger referrals and follow-up
Increased caregiver / community support
Increased trust in services or institutions
Progress towards policy or practice change
Add new (add tag)",Select early signs that would indicate you are on the right track.,Early signals help identify progress before long-term outcomes are visible.
Step 4 — Equity Profile,,,,,,
inclusion_priority_groups,Required; suggest “select up to 6”,"Multi select (enum), with a taggable select for the Add new option",Which groups are you intentionally prioritising for inclusion through this work?,"Children (0–10)
Adolescents (11–17)
Youth (18–24)
Young adults (25–30)
Girls / young women
Boys / young men
Gender-diverse young people
Young people with disabilities
Young people living in poverty
Rural communities
Urban informal settlements
Displaced / refugee populations
Care-experienced / without parental care
Justice-involved young people
Out-of-school young people
NEET (not in education, employment, or training)
Caregivers / families
Frontline service providers
People with disabilities
Add new (add tag)",Select the groups you are intentionally prioritising for inclusion.,This clarifies who the work is designed to benefit most and supports disaggregated learning.
